模型,电价情景,充电量_kWh,放电量_kWh,充电加权电价_元每kWh,放电加权电价_元每kWh,充放电价差_元每kWh,低价充电占比_百分比,高价放电占比_百分比,计划购电费_元,调整费用_元,紧急购电费_元,总费用_元,紧急购电量_kWh,紧急购电时段数
问题2,附件1固定日内电价,6301525.602080986,5106592.628911074,0.5433813937802582,1.1407024361936846,0.5973210424134264,46.34220442183645,69.62000355901387,12783979.361277001,0.0,1216647.5847345842,14000626.946011584,225899.89938647364,2290
问题4-2,附件4实时波动电价,6281476.795265058,5090470.572832718,0.5353236973822485,1.160541076868357,0.6252173794861086,45.2962124958396,71.68463014818008,13492763.070238482,0.0,1272043.5627162065,14764806.632954689,226734.08077412695,2307
问题3,附件1固定日内电价,6641743.526326237,5375360.399410234,0.533928173726637,1.0852534314823208,0.5513252577556838,48.57956646945435,64.74449886070693,13177906.763778765,332798.125078431,205903.18168528308,13716608.07054248,39058.927047520374,520
问题4-3,附件4实时波动电价,6478109.106533493,5242534.070568444,0.5216260435430341,1.1141680519781858,0.5925420084351517,48.95806785577923,68.06676237546107,13891179.022231543,380992.70972952,213654.94662375253,14485826.678584816,37876.25901956838,496
