情景,计划购电量_kWh,调整购电量_kWh,紧急购电量_kWh,计划购电费_元,调整费用_元,紧急购电费_元,总费用_元,更新接受次数,更新拒绝次数,保持计划不可行次数,预计调整节省_元
仅0:00预报,21052570.698471524,21052570.698471524,197397.09019846475,13891178.443759387,0.0,1251638.2044629126,15142816.6482223,0,0,0,0.0
更新至6:00,21052570.698471524,21495762.03385943,72388.49955969074,13891178.443759387,424637.4622904298,462482.95709008636,14778298.863139903,222,112,2,363653.2215192697
更新至12:00,21052570.698471524,21454371.140385177,57004.87271472684,13891178.443759387,380656.6979932446,349750.17410534737,14621585.315857979,434,234,9,501810.7603520461
更新至18:00,21052570.698471524,21397740.386400864,37876.25901956838,13891178.443759387,380981.1972064177,213654.94662375253,14485814.587589558,556,446,15,549939.1264143392
