日期,小区负载电量_kWh,光伏实际电量_kWh,计划购电量_kWh,紧急购电量_kWh,充电量_kWh,放电量_kWh,弃光量_kWh,0:00储电量_kWh,24:00储电量_kWh,计划购电费_元,紧急购电费_元,总购电费_元
2025-03-20,117648.38173333334,55439.41991666665,62007.89364317169,3785.8707378987947,17901.599456021424,14351.411795701668,34.614904084065984,1371.5456794838449,1536.9720835679395,37876.09291631295,22920.774286920645,60796.86720323359
2025-06-21,81408.0648,62073.3244,33989.874237973745,185.3588218161823,13668.234779309489,10586.874760353287,11759.132640833734,1239.132984861914,1777.3501080701321,19731.916861995513,760.7641415246983,20492.68100352021
2025-09-23,121182.28133333332,59065.66574999999,65617.10974234402,393.1887377239302,19530.89395591355,16201.689171691465,564.4781125125434,1819.3020299530308,1395.229732840269,41964.109722882735,2539.0923273890503,44503.202050271786
2025-12-21,124376.44096666668,35338.6591,96366.59398703404,0.0,24006.5726236665,19086.80216822255,2409.0416649234235,1295.2500071699717,1693.607403778102,62518.87338039021,0.0,62518.87338039021
