日期,情景,计划购电量_kWh,调整购电量_kWh,紧急购电量_kWh,计划购电费_元,调整费用_元,紧急购电费_元,总费用_元
2025-02-01,仅0:00预报,38221.338517078184,38221.338517078184,3963.574661000003,20623.88166965426,0.0,18058.790759424683,38682.67242907894
2025-02-01,更新至6:00,38221.338517078184,38221.338517078184,3092.9763499999967,20623.88166965426,0.0,12195.391017516651,32819.27268717091
2025-02-01,更新至12:00,38221.338517078184,39589.71497695473,2415.709849999998,20623.88166965426,894.0912559747243,10178.195418558322,31696.168344187303
2025-02-01,更新至18:00,38221.338517078184,39589.71497695473,2415.7098499999975,20623.88166965426,894.0912559747243,10178.19541855832,31696.168344187303
2025-02-02,仅0:00预报,84399.82723045268,84399.82723045268,2576.3686666666654,52473.59891582315,0.0,12421.47890728333,64895.07782310648
2025-02-02,更新至6:00,84399.82723045268,84652.20785288065,2399.7574643333305,52473.59891582315,272.34828856555043,11860.437868674322,64606.38507306303
2025-02-02,更新至12:00,84399.82723045268,84832.55183436215,2384.643797666664,52473.59891582315,483.5168520605598,11794.176222024322,64751.29198990803
2025-02-02,更新至18:00,84399.82723045268,84832.55183436215,2384.643797666664,52473.59891582315,483.51685206056004,11794.176222024322,64751.29198990803
2025-02-03,仅0:00预报,88036.56763333332,88036.56763333332,2007.2641499999995,55026.69350106,0.0,9403.640538941665,64430.33404000166
2025-02-03,更新至6:00,88036.56763333332,88043.01563333333,1991.1453833333342,55026.69350106,8.548758400002033,10041.881024250004,65077.12328371
2025-02-03,更新至12:00,88036.56763333332,88036.56763333332,1999.4574666666674,55026.69350106,0.0,10082.41905466667,65109.11255572667
2025-02-03,更新至18:00,88036.56763333332,88036.56763333332,1999.4574666666674,55026.69350106,1.0055350685433949e-11,10082.41905466667,65109.11255572668
2025-02-04,仅0:00预报,89295.94271666666,89295.94271666666,2510.832183333332,56045.49893456833,0.0,11580.941265499994,67626.44020006832
2025-02-04,更新至6:00,89295.94271666666,89295.94271666666,2038.5898333333298,56045.49893456833,0.0,9448.832983233315,65494.33191780164
2025-02-04,更新至12:00,89295.94271666666,89295.94271666666,2051.9629166666627,56045.49893456833,7.244125299621373e-14,9513.142858258314,65558.64179282665
2025-02-04,更新至18:00,89295.94271666666,89295.94271666667,2051.9629166666627,56045.49893456833,4.256844476913102e-12,9513.142858258314,65558.64179282665
