情景,计划购电量_kWh,调整购电量_kWh,紧急购电量_kWh,计划购电费_元,调整费用_元,紧急购电费_元,总费用_元,更新接受次数,更新拒绝次数,保持计划不可行次数,预计调整节省_元
仅0:00预报,20933923.008863714,20933923.008863714,211517.3485730094,13114536.283532284,0.0,1260896.4561708916,14375432.739703175,0,0,0,0.0
更新至6:00,20933923.008863714,21354632.029021826,73244.68315801882,13114536.283532284,389018.68082284543,428428.993332627,13931983.957687756,212,122,2,363961.73072780785
更新至12:00,20933923.008863714,21265716.812540524,62657.110829984806,13114536.283532284,309635.30163661647,357369.0688998366,13781540.654068736,396,272,3,477828.64951254486
更新至18:00,20933923.008863714,21285525.556012057,41554.212147780454,13114536.283532284,358420.3878371612,219194.0859182677,13692150.757287713,480,522,23,503262.8948993846
