日期,预报整体缩放比例,计划购电量_kWh,调整购电量_kWh,紧急购电量_kWh,总费用_元
2025-03-20,0.9,73194.98402833333,74738.77627589999,1664.796713333332,54349.63018862964
2025-03-20,0.95,70287.43977054527,72054.43940027202,2178.0902000000124,55315.544378103186
2025-03-20,1.0,67445.61404686215,69340.33744266667,3073.341370833332,57118.27455369173
2025-03-20,1.05,64646.87357611285,67040.88803500174,4037.929057364514,59833.78983326136
2025-03-20,1.1,61754.098399218106,64446.05291524692,5478.970846975304,64378.05070011292
2025-06-21,0.9,34944.44984666666,35507.20364666667,799.1334733333326,23456.984246981083
2025-06-21,0.95,34422.22078166667,35000.198501666666,939.2929533333322,23639.812153431787
2025-06-21,1.0,33899.991716666664,34542.15811666666,1081.070016666666,23870.529650512497
2025-06-21,1.05,33379.431364824995,34018.248844825,1356.260234341666,24532.519691986447
2025-06-21,1.1,32862.4887482,33539.381121533326,1995.101974792669,26531.686694988493
2025-09-23,0.9,74277.39542808846,74277.39542808846,1358.9973916666677,52789.80409060802
2025-09-23,0.95,71187.24535039095,71187.24535039093,1941.4560158333386,53694.53828209148
2025-09-23,1.0,68149.93810955966,68149.93810955966,3215.9382236666725,57283.97292867618
2025-09-23,1.05,65258.411767304526,65258.411767304526,4872.486823533334,62401.6809110062
2025-09-23,1.1,62239.95279489711,62239.95279489711,7335.9316035185375,71064.04466340606
2025-12-21,0.9,97337.69688333332,98054.31515268332,1292.7440050000068,69122.99920256395
2025-12-21,0.95,95564.61850833333,96321.04890375832,1643.7308916666657,69353.96421238157
2025-12-21,1.0,93776.07118950617,94583.89830925924,2465.5570353333387,71580.43438650477
2025-12-21,1.05,91874.59744319957,93030.71666105965,3302.40679,74175.10564510504
2025-12-21,1.1,90087.05004999999,91139.57791279836,4614.246240366669,78031.85947415933
